Station Id;Date Timestamp [UTC];Date Txt [UTC]; Average Wind Speed [nds];Min Wind Speed [nds];Max Wind Speed [nds];Wind Direction [degree];Wind Direction [txt]
2;1652140929;2022-05-10 02:02;4;4;5;270;O;
2;1652148259;2022-05-10 04:04;0;0;0;270;O;
2;1652163013;2022-05-10 08:10;8;7;9;270;O;
2;1652163128;2022-05-10 08:12;5;5;7;270;O;
2;1652163241;2022-05-10 08:14;5;4;5;270;O;
2;1652163353;2022-05-10 08:15;5;4;5;270;O;
2;1652163499;2022-05-10 08:18;5;5;7;270;O;
2;1652163613;2022-05-10 08:20;5;5;7;270;O;
2;1652163725;2022-05-10 08:22;5;5;5;270;O;
2;1652163841;2022-05-10 08:24;5;4;5;270;O;
2;1652163955;2022-05-10 08:25;5;5;7;270;O;
2;1652164070;2022-05-10 08:27;5;5;5;270;O;
2;1652164183;2022-05-10 08:29;5;4;5;270;O;
2;1652164297;2022-05-10 08:31;5;4;7;270;O;
2;1652164412;2022-05-10 08:33;5;4;5;270;O;
2;1652164526;2022-05-10 08:35;5;5;5;270;O;
2;1652164642;2022-05-10 08:37;5;4;5;270;O;
2;1652164759;2022-05-10 08:39;5;5;5;270;O;
2;1652164911;2022-05-10 08:41;4;3;5;270;O;
2;1652165024;2022-05-10 08:43;5;4;7;270;O;
2;1652165139;2022-05-10 08:45;4;4;5;270;O;
2;1652165254;2022-05-10 08:47;4;4;5;270;O;
2;1652165369;2022-05-10 08:49;4;4;5;270;O;
2;1652165482;2022-05-10 08:51;4;3;5;270;O;
2;1652165595;2022-05-10 08:53;4;4;4;270;O;
2;1652165760;2022-05-10 08:56;4;3;4;270;O;
2;1652165875;2022-05-10 08:57;4;4;5;270;O;
2;1652165988;2022-05-10 08:59;5;4;5;270;O;
2;1652166103;2022-05-10 09:01;5;4;5;270;O;
2;1652166216;2022-05-10 09:03;4;4;5;270;O;
2;1652166330;2022-05-10 09:05;5;4;5;270;O;
2;1652166447;2022-05-10 09:07;7;5;7;270;O;
2;1652166561;2022-05-10 09:09;7;7;8;270;O;
2;1652166676;2022-05-10 09:11;7;7;7;270;O;
2;1652166841;2022-05-10 09:14;7;7;8;270;O;
2;1652166955;2022-05-10 09:15;8;8;8;270;O;
2;1652167070;2022-05-10 09:17;8;7;8;270;O;
2;1652167182;2022-05-10 09:19;8;7;8;270;O;
2;1652167295;2022-05-10 09:21;8;8;8;270;O;
2;1652167410;2022-05-10 09:23;7;7;8;270;O;
2;1652167524;2022-05-10 09:25;8;7;9;270;O;
2;1652167640;2022-05-10 09:27;8;8;9;270;O;
2;1652167794;2022-05-10 09:29;7;5;8;270;O;
2;1652167907;2022-05-10 09:31;5;5;5;270;O;
2;1652168020;2022-05-10 09:33;4;4;5;270;O;
2;1652168136;2022-05-10 09:35;4;4;5;270;O;
2;1652168252;2022-05-10 09:37;5;4;7;270;O;
2;1652168369;2022-05-10 09:39;5;5;8;270;O;
2;1652168482;2022-05-10 09:41;5;5;7;270;O;
2;1652168596;2022-05-10 09:43;7;5;7;270;O;
